,title,description,fromCoordsx,fromCoordsy,toCoordx,toCoordy,creationDate,authorFirstName,authorLastName,reportId,lastUpdateDate,linkedMetadata,tags
0,Ground Troop Movement Analysis,Satellite imagery shows enemy naval buildup near the coastal region. Our naval units are on high alert and prepared to respond to any potential threat.,49.49942254759394,30.229463457314203,49.509422547593935,30.219463457314202,2019-02-05,Władysław,Nowak,ZK0207252,2021-09-18,False,"['Bunkers', 'Control Tower']"
1,Ground Assault Route Analysis,Enemy ground forces have been spotted moving towards our border. Our ground troops and armor units have been deployed to defend against potential aggression.,52.87457367405111,21.8242456590221,52.88457367405111,21.8142456590221,2017-09-20,Roman,Kaczmarek,CT2822570,2020-05-03,True,['Rapid Reaction Force']
2,Hostile Troop Concentration Detection,New enemy fortifications detected near the border. Artillery units are being deployed to engage the enemy and neutralize the threat.,53.118507880875754,19.896433268358862,53.12850788087575,19.88643326835886,2017-06-09,Zbigniew,Sikora,XJ0697602,2020-01-21,True,"['Ground-Based Air Defense', 'Engineering Works']"
3,Hostile Drone Identification,A large enemy fleet has been detected approaching our territorial waters. Our naval units are prepared to engage in case of hostilities.,52.81693943429881,24.78787890327872,52.82693943429881,24.77787890327872,2019-03-22,Kazimiera,Kucharska,UG9643470,2021-11-02,True,"['Combat Engineering Vehicle', 'Helicopter Landing Zone']"
4,Critical Infrastructure Protection Recommendation,Enemy forces have occupied a key town and set up a forward base. Immediate action needed to recapture and secure the area.,49.06615451827593,17.496307668664087,49.07615451827593,17.486307668664086,2017-10-14,Edyta,Walczak,PF8773345,2020-05-27,False,['Anti-Tank Guided Missile System']
5,Maritime Interdiction Operations Planning,Enemy troops spotted gathering and preparing for a major assault. Aerial reconnaissance recommended to gather intelligence and prepare countermeasures.,50.13376222059549,27.406940835847383,50.14376222059549,27.39694083584738,2018-04-02,Wiesław,Sadowski,MH3386748,2020-11-13,False,['Surveillance Drone']
6,Hostile Communications Interception Operations,A large enemy fleet has been detected moving towards the coast. Our naval units are on high alert and prepared to engage in case of a threat.,49.98642371204532,16.459491887304168,49.99642371204532,16.449491887304166,2017-07-06,Joanna,Cieślak,BG4134521,2020-02-17,False,"['Special Operations Forces', 'Cargo Terminal']"
7,Airborne Early Warning Assessment,Enemy air activity has been detected near the coast. Our coastal defense systems and fighter jets are on high alert and ready to respond to any potential attack.,52.935998265029525,15.59927922036856,52.94599826502952,15.58927922036856,2019-05-02,Alicja,Grabowska,RD7697286,2021-12-13,False,['Anti-Tank Guided Missile System']
8,Enemy Aerial Reconnaissance Monitoring,Enemy forces spotted moving towards our border. Intel suggests high number of armored vehicles and troops. Recommend immediate reinforcement.,51.753975176819836,16.648006848618614,51.763975176819834,16.638006848618613,2017-12-20,Sławomir,Wilk,FF2002066,2020-08-02,True,"['Reservoir', 'Transport Helicopter']"
9,Enemy Coastline Surveillance Analysis and Monitoring,Hostile submarine activity has been detected in the area. Anti-submarine units are being deployed to locate and neutralize the threat.,52.0645645352657,30.583340531738703,52.0745645352657,30.5733405317387,2017-12-27,Edyta,Zakrzewska,NP7192926,2020-08-09,True,['Intelligence Gathering Aircraft']
